"","popularity","danceability","energy","key","loudness","mode","acousticness","instrumentalness","valence","tempo","time_signature","genre","instrumentalness_is_na","log_speechiness","log_liveness","sqrt_duration"
"1",60,0.854,0.564,1,-4.964,1,0.0171,0.00391,0.899,134.071,4,5,TRUE,-3.0261914810387,-2.46628118566484,484.351112314197
"2",54,0.382,0.814,3,-7.23,1,0.0011,0.00401,0.569,116.454,4,10,FALSE,-3.20398721237445,-2.29263476214088,501.730007075519
"3",35,0.434,0.614,6,-8.334,1,0.486,0.000196,0.787,147.681,4,6,FALSE,-2.94694210938456,-0.931404369684203,331.160082135513
"4",66,0.853,0.597,10,-6.528,0,0.0212,0.00391,0.569,107.033,4,5,TRUE,-2.89137225822975,-2.10373423424888,417.09471346446
"5",53,0.167,0.975,2,-4.279,1,0.000169,0.0161,0.0918,199.06,4,10,FALSE,-1.53247687129797,-1.76026080216868,479.541447635134
"6",53,0.235,0.977,6,0.878,1,0.00353,0.00604,0.241,152.952,4,6,FALSE,-2.23492644452023,-1.76026080216868,456.215957634101
"7",48,0.674,0.658,5,-9.647,0,0.404,1.34e-06,0.677,143.292,4,2,FALSE,-2.26336437984076,-2.32176791241082,573.922468631435
"8",55,0.657,0.415,5,-9.915,1,0.175,5.65e-06,0.347,96.03,4,4,FALSE,-3.68887945411394,-2.02495335639577,1.76232327709759
"9",29,0.431,0.776,10,-5.403,1,2.21e-05,0.0013,0.318,120.857,4,8,FALSE,-2.94313982343482,-1.72036947314138,487.716105946892
"10",14,0.716,0.885,1,-4.348,0,0.0614,0.00391,0.833,128.043,4,9,TRUE,-3.40219788199574,-1.37436579025462,405.083941918215
"11",11,0.491,0.563,7,-8.588,0,0.957,0.0023,0.843,95.558,4,3,FALSE,-3.40822199659912,-1.33560124680437,2.08097332995884
"12",59,0.387,0.922,9,-5.192,0,0.00487,0.00391,0.417,146.478,4,10,TRUE,-2.69711026106388,-1.67664666212755,472.172637919649
